--------- beginning of main
04-06 04:30:35.794 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:35.868 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:35.875 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:35.909 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:35.951 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:35.970 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.078 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.108 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.155 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.180 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.183 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.218 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.237 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.251 15552 15552 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 04:30:36.258 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.264 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.294 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.378 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.387 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.396 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.408 15552 15552 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 04:30:36.419 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.446 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.475 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.478 15552 15552 D BLE     : Found: Unknown (78:BD:BC:02:4E:67)
04-06 04:30:36.508 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.559 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.599 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.683 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.699 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.734 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.775 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.777 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.798 15552 15552 D BLE     : Found: Bosch GLM50C x5747 (00:13:43:9B:E6:C4)
04-06 04:30:36.806 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.808 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.857 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.946 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:36.984 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:36.990 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.010 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.028 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.048 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.057 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.087 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.097 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.104 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.140 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.155 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.163 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.268 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.294 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.301 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.314 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.329 15552 15552 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 04:30:37.344 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.370 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.378 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.390 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.415 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.447 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.466 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.477 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.603 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.605 15552 15552 D BLE     : Found: Bosch GLM50C x5747 (00:13:43:9B:E6:C4)
04-06 04:30:37.614 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.654 15552 15552 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 04:30:37.678 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.682 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.714 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.728 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.731 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.760 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.790 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.886 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.889 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:37.941 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.949 15552 15552 D BLE     : Found: [TV] Samsung Q60 Series (55) (D0:03:DF:8E:81:83)
04-06 04:30:37.953 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.979 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:37.990 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:38.006 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.019 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.027 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.052 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.075 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.112 15552 15552 D BLE     : Found: Unknown (34:24:9F:2D:0C:08)
04-06 04:30:38.211 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
04-06 04:30:38.234 15552 15552 D BLE     : Found: BTM0129684 (30:AF:7E:BE:89:C3)
